,PRICE,TRD_VOLUME,MINERS_FEE,TRAN_VOL,PRICE_VOL,MINERS_REVENUE,DIFFICULTY,TRAN_BLOCK,HASH_RATE,MONEY_SUPPLY,BCH_PRICE
2012-04-17,5.022069999999999,162666.85324,5.89421381,218911.0,40.868895037653004,7505.89421381,1577913.0,45.0,10.565414045905351,8797450.0,4.91
2012-04-18,5.1782,415769.62544699997,6.81279204,177576.0,41.018245452623454,6756.81279204,1577913.0,46.0,10.380172021211267,8804200.0,4.96
2012-04-19,5.19,208230.25114100002,6.1545368,200127.0,29.249303117665537,6506.1545368,1577913.0,60.0,10.208207985913011,8810700.0,5.1
2012-04-20,5.17,251079.271135,5.93884531,222789.0,29.075605777696875,7855.93884531,1577913.0,56.0,10.544372903122,8818550.0,5.14
2012-04-21,5.48,666085.012791,7.17345209,170294.0,30.09599909233575,7707.17345209,1577913.0,65.0,10.891743317571292,8826250.0,5.27
2012-04-22,5.3287,177455.107444,4.89529447,176558.0,29.62193962651215,7704.89529447,1577913.0,56.0,11.059825776175787,8833950.0,5.26
2012-04-23,5.21799,175572.355384,4.84142314,117304.0,29.948268122777186,7004.84142314,1577913.0,45.0,11.429607185105677,8840950.0,5.18
2012-04-24,5.2,440369.959388,4.41499301,155892.0,31.004818493445683,6754.41499301,1577913.0,48.0,11.261524726501179,8847700.0,5.07
2012-04-25,5.16,200035.852952,6.47879029,152672.0,30.166992254382173,6906.47879029,1577913.0,53.0,11.29514121822208,8854600.0,5.07
2012-04-26,5.18,312026.861147,5.58132728,204850.0,30.136631538734694,6355.58132728,1577913.0,56.0,11.26152472650118,8860950.0,5.12
2012-04-27,5.1372,145131.760091,13.42492001,146063.0,29.817791636204447,7763.42492001,1577913.0,60.0,11.239113732020583,8868700.0,5.08
2012-04-28,5.1176,479852.20141599997,5.76731988,132702.0,29.48718269598667,6755.76731988,1508590.0,73.0,10.959749459039571,8875450.0,5.09
2012-04-29,5.0184,110804.12809200001,7.08320845,159552.0,30.9938636343254,7607.08320845,1508590.0,92.0,10.862509624091357,8883050.0,4.96
2012-04-30,5.0,228062.88515100002,3.94050767,114217.0,30.74637670331823,8953.94050767,1508590.0,87.0,11.211403210912373,8892000.0,4.95
2012-05-01,5.0,190453.785172,5.03599379,153169.0,30.464054469778524,8955.03599379,1508590.0,72.0,11.616324283934883,8900950.0,4.95
2012-05-02,5.1789,510833.58315699996,7.12012572,154490.0,29.517579568829365,8507.12012572,1508590.0,95.0,11.891210045101484,8909450.0,4.97
2012-05-03,5.184,205678.08343199998,6.99131507,175809.0,28.20370849484713,7506.99131507,1508590.0,92.0,12.075092231166918,8916950.0,5.06
2012-05-04,5.15,170522.155599,10.84808946,142735.0,28.194890860021328,7860.84808946,1508590.0,115.0,12.020212910164519,8924800.0,5.1
2012-05-05,5.1495,164735.277546,10.74153325,145974.0,28.19130389874713,8060.74153325,1508590.0,88.0,12.298756168332329,8932850.0,5.08
2012-05-06,5.099,88451.06781830001,7.699107499999999,195711.0,28.35047256198409,8357.6991075,1508590.0,115.0,12.459454201890676,8941200.0,5.04
2012-05-07,5.0947,211685.067183,7.40766949,175687.0,28.230595923817397,8207.40766949,1508590.0,160.0,12.298756168332329,8949400.0,5.04
